survived,sex,passenger_class,name,age,fare,n_siblings_spouses_aboard,n_parents_children_aboard
Yes,Male,Third,Mr. Juha Niskanen,39,7.925,0,0
No,Male,Third,Mr. John Adams,26,8.05,0,0
No,Female,Third,Miss. Mari Aina Jussila,21,9.825,1,0
No,Male,Third,Mr. Pekka Pietari Hakkarainen,28,15.85,1,0
No,Female,Third,Miss. Marija Oreskovic,20,8.6625,0,0
No,Male,Second,Mr. Shadrach Gale,34,21,1,0
No,Male,Third,Mr. Carl/Charles Peter Widegren,51,7.75,0,0
Yes,Male,Second,Master. William Rowe Richards,3,18.75,1,1
No,Male,Third,Mr. Hans Martin Monsen Birkeland,21,7.775,0,0
No,Female,Third,Miss. Ida Lefebre,3,25.4667,3,1
No,Male,Third,Mr. Todor Sdycoff,42,7.8958,0,0
No,Male,Third,Mr. Henry Hart,27,6.8583,0,0
Yes,Female,First,Miss. Daisy E Minahan,33,90,1,0
No,Male,Second,Mr. Alfred Fleming Cunningham,22,0,0,0
Yes,Male,Third,Mr. Johan Julian Sundman,44,7.925,0,0
No,Female,Third,Mrs. Thomas (Annie Louise Rowley) Meek,32,8.05,0,0
Yes,Female,Second,Mrs. James Vivian (Lulu Thorne Christian) Drew,34,32.5,1,1
Yes,Female,Second,Miss. Lyyli Karoliina Silven,18,13,0,2
No,Male,Second,Mr. William John Matthews,30,13,0,0
No,Female,Third,Miss. Catharina Van Impe,10,24.15,0,2
No,Male,Third,Mr. David Charters,21,7.7333,0,0
No,Male,Third,Mr. Leo Zimmerman,29,7.875,0,0
No,Female,Third,Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,28,14.4,1,1
No,Male,Third,Mr. Viktor Richard Rosblom,18,20.2125,1,1
No,Male,Third,Mr. Phillippe Wiseman,54,7.25,0,0
Yes,Female,Second,Mrs. Charles V (Ada Maria Winfield) Clarke,28,26,1,0
Yes,Female,Second,Miss. Kate Florence Phillips,19,26,0,0
No,Male,Third,Mr. James Flynn,28,7.75,0,0
Yes,Male,Third,Mr. Berk (Berk Trembisky) Pickard,32,8.05,0,0
Yes,Male,First,Mr. Mauritz Hakan Bjornstrom-Steffansson,28,26.55,0,0
Yes,Female,Third,Mrs. Percival (Florence Kate White) Thorneycroft,33,16.1,1,0
Yes,Female,Second,Mrs. Charles Alexander (Alice Adelaide Slow) Louch,42,26,1,0
No,Male,Third,Mr. Nikolai Erland Kallio,17,7.125,0,0
No,Male,First,Mr. William Baird Silvey,50,55.9,1,0
Yes,Female,First,Miss. Lucile Polk Carter,14,120,1,2
No,Female,Third,Miss. Doolina Margaret Ford,21,34.375,2,2
Yes,Female,Second,Mrs. Sidney (Emily Hocking) Richards,24,18.75,2,3
No,Male,First,Mr. Mark Fortune,64,263,1,4
No,Male,Second,Mr. Johan Henrik Johannesson Kvillner,31,10.5,0,0
Yes,Female,Second,Mrs. Benjamin (Esther Ada Bloomfield) Hart,45,26.25,1,1
No,Male,Third,Mr. Leon Hampe,20,9.5,0,0
No,Male,Third,Mr. Johan Emil Petterson,25,7.775,1,0
Yes,Female,Second,Ms. Encarnacion Reynaldo,28,13,0,0
Yes,Male,Third,Mr. Bernt Johannesen-Bratthammer,29,8.1125,0,0
Yes,Male,First,Master. Washington Dodge,4,81.8583,0,2
Yes,Female,Second,Miss. Madeleine Violet Mellinger,13,19.5,0,1
Yes,Male,First,Mr. Frederic Kimber Seward,34,26.55,0,0
Yes,Female,Third,Miss. Marie Catherine Baclini,5,19.2583,2,1
Yes,Male,First,Major. Arthur Godfrey Peuchen,52,30.5,0,0
No,Male,Second,Mr. Edwy Arthur West,36,27.75,1,2
No,Male,Third,Mr. Ingvald Olai Olsen Hagland,28,19.9667,1,0
No,Male,First,Mr. Benjamin Laventall Foreman,30,27.75,0,0
Yes,Male,First,Mr. Samuel L Goldenberg,49,89.1042,1,0
No,Male,Third,Mr. Joseph Peduzzi,24,8.05,0,0
Yes,Male,Third,Mr. Ivan Jalsevac,29,7.8958,0,0
No,Male,First,Mr. Francis Davis Millet,65,26.55,0,0
Yes,Female,First,Mrs. Frederick R (Marion) Kenyon,41,51.8625,1,0
Yes,Female,Second,Miss. Ellen Toomey,50,10.5,0,0
No,Male,Third,Mr. Maurice O'Connor,17,7.75,0,0
Yes,Male,First,Mr. Harry Anderson,48,26.55,0,0
No,Male,Third,Mr. William Morley,34,8.05,0,0
No,Male,First,Mr. Arthur H Gee,47,38.5,0,0
No,Male,Second,Mr. Jacob Christian Milling,48,13,0,0
No,Male,Third,Mr. Simon Maisner,34,8.05,0,0
No,Male,Third,Mr. Manuel Estanslas Goncalves,38,7.05,0,0
No,Male,Second,Mr. William Campbell,21,0,0,0
No,Male,First,Mr. John Montgomery Smart,56,26.55,0,0
No,Male,Third,Mr. James Scanlan,22,7.725,0,0
Yes,Female,Third,Miss. Helene Barbara Baclini,0.75,19.2583,2,1
No,Male,Third,Mr. Arthur Keefe,39,7.25,0,0
No,Male,Third,Mr. Luka Cacic,38,8.6625,0,0
Yes,Female,Second,Mrs. Edwy Arthur (Ada Mary Worth) West,33,27.75,1,2
Yes,Female,Second,Mrs. Amin S (Marie Marthe Thuillard) Jerwan,23,13.7917,0,0
No,Female,Third,Miss. Ida Sofia Strandberg,22,9.8375,0,0
No,Male,First,Mr. George Quincy Clifford,40,52,0,0
No,Male,Second,Mr. Peter Henry Renouf,34,21,1,0
No,Male,Third,Mr. Lewis Richard Braund,29,7.0458,1,0
No,Male,Third,Mr. Nils August Karlsson,22,7.5208,0,0
Yes,Female,Third,Miss. Hildur E Hirvonen,2,12.2875,0,1
No,Male,Third,Master. Harold Victor Goodwin,9,46.9,5,2
No,Male,Second,Mr. Anthony Wood Frost,37,0,0,0
No,Male,Third,Mr. Richard Henry Rouse,50,8.05,0,0
Yes,Female,Third,Mrs. (Hedwig) Turkula,63,9.5875,0,0
Yes,Male,First,Mr. Dickinson H Bishop,25,91.0792,1,0
No,Female,Third,Miss. Jeannie Lefebre,8,25.4667,3,1
Yes,Female,First,Mrs. Frederick Maxfield (Jane Anne Forby) Hoyt,35,90,1,0
No,Male,First,Mr. Edward Austin Kent,58,29.7,0,0
No,Male,Third,Mr. Francis William Somerton,30,8.05,0,0
Yes,Male,Third,Master. Eden Leslie Coutts,9,15.9,1,1
No,Male,Third,Mr. Konrad Mathias Reiersen Hagland,19,19.9667,1,0
No,Male,Third,Mr. Einar Windelov,21,7.25,0,0
No,Male,First,Mr. Harry Markland Molson,55,30.5,0,0
No,Male,First,Mr. Ramon Artagaveytia,71,49.5042,0,0
No,Male,Third,Mr. Edward Roland Stanley,21,8.05,0,0
No,Male,Third,Mr. Gerious Yousseff,26,14.4583,0,0
Yes,Female,First,Miss. Elizabeth Mussey Eustis,54,78.2667,1,0
No,Male,Third,Mr. Frederick William Shellard,55,15.1,0,0
No,Female,First,Mrs. Hudson J C (Bessie Waldo Daniels) Allison,25,151.55,1,2
No,Male,Third,Mr. Olof Svensson,24,7.7958,0,0
No,Male,Third,Mr. Petar Calic,17,8.6625,0,0
No,Female,Third,Miss. Mary Canavan,21,7.75,0,0
No,Female,Third,Miss. Bridget Mary O'Sullivan,21,7.6292,0,0
No,Female,Third,Miss. Kristina Sofia Laitinen,37,9.5875,0,0
Yes,Female,First,Miss. Roberta Maioni,16,86.5,0,0
No,Male,First,Mr. Victor de Satode Penasco y Castellana,18,108.9,1,0
Yes,Female,Second,Mrs. Frederick Charles (Jane Richards) Quick,33,26,0,2
Yes,Male,First,Mr. George Bradley,37,26.55,0,0
No,Male,Third,Mr. Henry Margido Olsen,28,22.525,0,0
Yes,Male,Third,Mr. Fang Lang,26,56.4958,0,0
Yes,Male,Third,Mr. Eugene Patrick Daly,29,7.75,0,0
No,Male,Third,Mr. James Webber,66,8.05,0,0
Yes,Male,First,Mr. James Robert McGough,36,26.2875,0,0
Yes,Female,First,Mrs. Martin (Elizabeth L. Barrett) Rothschild,54,59.4,1,0
No,Male,Third,Mr. Satio Coleff,24,7.4958,0,0
No,Male,First,Mr. William Anderson Walker,47,34.0208,0,0
Yes,Female,Second,Mrs. (Amelia Milley) Lemore,34,10.5,0,0
No,Male,Third,Mr. Patrick Ryan,30,24.15,0,0
Yes,Female,Second,Mrs. William A (Florence Agnes Hughes) Angle,36,26,1,0
No,Male,Third,Mr. Stefo Pavlovic,32,7.8958,0,0
Yes,Female,First,Miss. Anne Perreault,30,93.5,0,0
No,Male,Third,Mr. Janko Vovk,22,7.8958,0,0
No,Male,Third,Mr. Sarkis Lahoud,35,7.225,0,0
Yes,Female,First,Mrs. Louis Albert (Ida Sophia Fischer) Hippach,44,57.9792,0,1
No,Male,Third,Mr. Fared Kassem,18,7.2292,0,0
No,Male,Third,Mr. James Farrell,40.5,7.75,0,0
Yes,Female,Second,Miss. Lucy Ridsdale,50,10.5,0,0
No,Male,First,Mr. John Farthing,49,221.7792,0,0
No,Male,Third,Mr. Johan Werner Salonen,39,7.925,0,0
No,Male,Second,Mr. Richard George Hocking,23,11.5,2,1
Yes,Female,Second,Miss. Phyllis May Quick,2,26,1,1
No,Male,Third,Mr. Nakli Toufik,17,7.2292,0,0
No,Male,Third,Mr. Joseph Jr Elias,17,7.2292,1,1
Yes,Female,Third,Mrs. Catherine (Catherine Rizk) Peter,24,22.3583,0,2
No,Female,Third,Miss. Marija Cacic,30,8.6625,0,0
Yes,Female,Second,Miss. Eva Miriam Hart,7,26.25,0,2
No,Male,First,Major. Archibald Willingham Butt,45,26.55,0,0
Yes,Female,First,Miss. Bertha LeRoy,30,106.425,0,0
No,Male,Third,Mr. Samuel Beard Risien,69,14.5,0,0
Yes,Female,First,Miss. Hedwig Margaritha Frolicher,22,49.5,0,2
Yes,Female,First,Miss. Harriet R Crosby,36,71,0,2
No,Female,Third,Miss. Ingeborg Constanzia Andersson,9,31.275,4,2
No,Female,Third,Miss. Sigrid Elisabeth Andersson,11,31.275,4,2
Yes,Male,Second,Mr. Edward Beane,32,26,1,0
No,Male,First,Mr. Walter Donald Douglas,50,106.425,1,0
No,Male,First,Mr. Arthur Ernest Nicholson,64,26,0,0
Yes,Female,Second,Mrs. Edward (Ethel Clarke) Beane,19,26,1,0
Yes,Male,Second,Mr. Julian Padro y Manent,27,13.8625,0,0
No,Male,Third,Mr. Frank John Goldsmith,33,20.525,1,1
Yes,Male,Second,Master. John Morgan Jr Davies,8,36.75,1,1
Yes,Male,First,Mr. John Borland Jr Thayer,17,110.8833,0,2
No,Male,Second,Mr. Percival James R Sharp,27,26,0,0
No,Male,Third,Mr. Timothy O'Brien,21,7.8292,0,0
Yes,Male,Third,Mr. Fahim Leeni,22,7.225,0,0
Yes,Female,Third,Miss. Velin Ohman,22,7.775,0,0
No,Male,First,Mr. George Wright,62,26.55,0,0
Yes,Female,First,Lady. (Lucille Christiana Sutherland)Duff Gordon,48,39.6,1,0
No,Male,First,Mr. Victor Robbins,45,227.525,0,0
Yes,Female,First,Mrs. Emil (Tillie Mandelbaum) Taussig,39,79.65,1,1
Yes,Female,Third,Mrs. Guillaume Joseph (Emma) de Messemaeker,36,17.4,1,0
No,Male,Third,Mr. Thomas Rowan Morrow,30,7.75,0,0
No,Male,Third,Mr. Husein Sivic,40,7.8958,0,0
No,Male,Second,Mr. Robert Douglas Norman,28,13.5,0,0
No,Male,Third,Mr. John Simmons,40,8.05,0,0
No,Female,Third,Miss. (Marion Ogden) Meanwell,62,8.05,0,0
No,Male,Third,Mr. Alfred J Davies,24,24.15,2,0
No,Male,Third,Mr. Ilia Stoytcheff,19,7.8958,0,0
No,Female,Third,Mrs. Nils (Alma Cornelia Berglund) Palsson,29,21.075,0,4
No,Male,Third,Mr. Tannous Doharr,28,7.2292,0,0
Yes,Male,Third,Mr. Carl Jonsson,32,7.8542,0,0
Yes,Male,Second,Mr. George Harris,62,10.5,0,0
Yes,Female,First,Mrs. Edward Dale (Charlotte Lamson) Appleton,53,51.4792,2,0
Yes,Male,First,Mr. John Irwin Flynn,36,26.3875,0,0
Yes,Female,Third,Miss. Mary Kelly,22,7.75,0,0
No,Male,Third,Mr. Alfred George John Rush,16,8.05,0,0
No,Male,Third,Mr. George Patchett,19,14.5,0,0
Yes,Female,Second,Miss. Ethel Garside,34,13,0,0
Yes,Female,First,Mrs. William Baird (Alice Munger) Silvey,39,55.9,1,0
No,Female,Third,Mrs. Joseph (Maria Elias) Caram,18,14.4583,1,0
Yes,Male,Third,Mr. Eiriik Jussila,32,7.925,0,0
Yes,Female,Second,Miss. Julie Rachel Christy,25,30,1,1
Yes,Female,First,Mrs. John Borland (Marian Longstreth Morris) Thayer,39,110.8833,1,1
No,Male,Second,Mr. William James Downton,54,26,0,0
No,Male,First,Mr. John Hugo Ross,36,40.125,0,0
No,Male,Third,Mr. Uscher Paulner,16,8.7125,0,0
Yes,Female,First,Miss. Ruth Taussig,18,79.65,0,2
No,Male,Second,Mr. John Denzil Jarvis,47,15,0,0
Yes,Male,First,Mr. Maxmillian Frolicher-Stehli,60,79.2,1,1
No,Male,Third,Mr. Eliezer Gilinski,22,8.05,0,0
No,Male,Third,Mr. Joseph Murdlin,22,8.05,0,0
No,Male,Third,Mr. Matti Rintamaki,35,7.125,0,0
Yes,Female,First,Mrs. Walter Bertram (Martha Eustis) Stephenson,52,78.2667,1,0
No,Male,Third,Mr. William James Elsbury,47,7.25,0,0
No,Female,Third,Miss. Mary Bourke,40,7.75,0,2
No,Male,Second,Mr. John Henry Chapman,37,26,1,0
No,Male,Third,Mr. Jean Baptiste Van Impe,36,24.15,1,1
Yes,Female,Second,Miss. Jessie Wills Leitch,31,33,0,0
No,Male,Third,Mr. Alfred Johnson,49,0,0,0
No,Male,Third,Mr. Hanna Boulos,18,7.225,0,0
Yes,Male,First,Sir. Cosmo Edmund Duff Gordon,49,56.9292,1,0
Yes,Female,Second,Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn,24,27,2,1
No,Male,Third,Mr. Petco Slabenoff,42,7.8958,0,0
No,Male,First,Mr. Charles H Harrington,37,42.4,0,0
No,Male,Third,Mr. Ernst William Torber,44,8.05,0,0
Yes,Male,First,Mr. Harry Homer,35,26.55,0,0
No,Male,Third,Mr. Edvard Bengtsson Lindell,36,15.55,1,0
No,Male,Third,Mr. Milan Karaic,30,7.8958,0,0
Yes,Male,First,Mr. Robert Williams Daniel,27,30.5,0,0
Yes,Female,Second,Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche,22,41.5792,1,2
Yes,Female,First,Miss. Elizabeth W Shutes,40,153.4625,0,0
No,Female,Third,Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,39,31.275,1,5
No,Male,Third,Mr. Jose Neto Jardin,21,7.05,0,0
Yes,Female,Third,Miss. Margaret Jane Murphy,18,15.5,1,0
No,Male,Third,Mr. John Horgan,22,7.75,0,0
No,Male,Third,Mr. William Alfred Brocklebank,35,8.05,0,0
Yes,Female,Second,Miss. Alice Herman,24,65,1,2
No,Male,Third,Mr. Ernst Gilbert Danbom,34,14.4,1,1
No,Female,Third,Mrs. William Arthur (Cordelia K Stanlick) Lobb,26,16.1,1,0
Yes,Female,Second,Miss. Marion Louise Becker,4,39,2,1
No,Male,Second,Mr. Lawrence Gavey,26,10.5,0,0
No,Male,Third,Mr. Antoni Yasbeck,27,14.4542,1,0
Yes,Male,First,Mr. Edwin Nelson Jr Kimball,42,52.5542,1,0
Yes,Male,Third,Mr. Sahid Nakid,20,15.7417,1,1
No,Male,Third,Mr. Henry Damsgaard Hansen,21,7.8542,0,0
No,Male,Third,Mr. David John Bowen,21,16.1,0,0
No,Male,First,Mr. Frederick Sutton,61,32.3208,0,0
No,Male,Second,Rev. Charles Leonard Kirkland,57,12.35,0,0
Yes,Female,First,Miss. Gretchen Fiske Longley,21,77.9583,0,0
No,Male,Third,Mr. Guentcho Bostandyeff,26,7.8958,0,0
No,Male,Third,Mr. Patrick D O'Connell,18,7.7333,0,0
Yes,Male,First,Mr. Algernon Henry Wilson Barkworth,80,30,0,0
No,Male,Third,Mr. Johan Svensson Lundahl,51,7.0542,0,0
Yes,Male,First,Dr. Max Stahelin-Maeglin,32,30.5,0,0
No,Male,First,Mr. William Henry Marsh Parr,30,0,0,0
No,Female,Third,Miss. Mabel Skoog,9,27.9,3,2
Yes,Female,Second,Miss. Mary Davis,28,13,0,0
No,Male,Third,Mr. Antti Gustaf Leinonen,32,7.925,0,0
No,Male,Second,Mr. Harvey Collyer,31,26.25,1,1
No,Female,Third,Mrs. Juha (Maria Emilia Ojala) Panula,41,39.6875,0,5
No,Male,Third,Mr. Percival Thorneycroft,37,16.1,1,0
No,Male,Third,Mr. Hans Peder Jensen,20,7.8542,0,0
Yes,Female,First,Mlle. Emma Sagesser,24,69.3,0,0
No,Female,Third,Miss. Margit Elizabeth Skoog,2,27.9,3,2
Yes,Male,Third,Mr. Choong Foo,32,56.4958,0,0
Yes,Female,Third,Miss. Eugenie Baclini,0.75,19.2583,2,1
Yes,Male,First,Mr. Henry Sleeper Harper,48,76.7292,1,0
No,Male,Third,Mr. Liudevit Cor,19,7.8958,0,0
Yes,Male,First,Col. Oberst Alfons Simonius-Blumer,56,35.5,0,0
No,Male,Third,Mr. Edward Willey,21,7.55,0,0
Yes,Female,Third,Miss. Amy Zillah Elsie Stanley,23,7.55,0,0
No,Male,Third,Mr. Mito Mitkoff,23,7.8958,0,0
Yes,Female,Second,Miss. Elsie Doling,18,23,0,1
No,Male,Third,Mr. Johannes Halvorsen Kalvik,21,8.4333,0,0
Yes,Female,Third,Miss. Hanora O'Leary,16,7.8292,0,0
No,Female,Third,Miss. Hanora Hegarty,18,6.75,0,0
No,Male,Second,Mr. Leonard Mark Hickman,24,73.5,2,0
No,Male,Third,Mr. Alexander Radeff,27,7.8958,0,0
No,Female,Third,Mrs. John (Catherine) Bourke,32,15.5,1,1
No,Male,Second,Mr. George Floyd Eitemiller,23,13,0,0
No,Male,First,Mr. Arthur Webster Newell,58,113.275,0,2
Yes,Male,First,Dr. Henry William Frauenthal,50,133.65,2,0
No,Male,Third,Mr. Mohamed Badt,40,7.225,0,0
No,Male,First,Mr. Edward Pomeroy Colley,47,25.5875,0,0
No,Male,Third,Mr. Peju Coleff,36,7.4958,0,0
Yes,Male,Third,Mr. Eino William Lindqvist,20,7.925,1,0
No,Male,Second,Mr. Lewis Hickman,32,73.5,2,0
No,Male,Second,Mr. Reginald Fenton Butler,25,13,0,0
No,Male,Third,Mr. Knud Paust Rommetvedt,49,7.775,0,0
No,Male,Third,Mr. Jacob Cook,43,8.05,0,0
Yes,Female,First,Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,48,52,1,0
Yes,Female,Second,Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown,40,39,1,1
No,Male,First,Mr. Thornton Davidson,31,52,1,0
No,Male,Second,Mr. Henry Michael Mitchell,70,10.5,0,0
Yes,Male,Second,Mr. Charles Wilhelms,31,13,0,0
No,Male,Second,Mr. Ennis Hastings Watson,19,0,0,0
No,Male,Third,Mr. Gustaf Hjalmar Edvardsson,18,7.775,0,0
No,Male,Third,Mr. Frederick Charles Sawyer,24.5,8.05,0,0
Yes,Female,Third,Miss. Anna Sofia Turja,18,9.8417,0,0
No,Female,Third,Mrs. Frederick (Augusta Tyler) Goodwin,43,46.9,1,6
Yes,Male,First,Mr. Thomas Drake Martinez Cardeza,36,512.3292,0,1
No,Female,Third,Miss. Katie Peters,28,8.1375,0,0
Yes,Male,First,Mr. Hammad Hassab,27,76.7292,0,0
No,Male,Third,Mr. Thor Anderson Olsvigen,20,9.225,0,0
No,Male,Third,Mr. Charles Edward Goodwin,14,46.9,5,2
No,Male,Second,Mr. Thomas William Solomon Brown,60,39,1,1
No,Male,Second,Mr. Joseph Philippe Lemercier Laroche,25,41.5792,1,2
No,Male,Third,Mr. Jaako Arnold Panula,14,39.6875,4,1
No,Male,Third,Mr. Branko Dakic,19,10.1708,0,0
No,Male,Third,Mr. Eberhard Thelander Fischer,18,7.7958,0,0
Yes,Female,First,Miss. Georgette Alexandra Madill,15,211.3375,0,1
Yes,Male,First,Mr. Albert Adrian Dick,31,57,1,0
Yes,Female,Third,Miss. Manca Karun,4,13.4167,0,1
Yes,Male,Third,Mr. Ali Lam,37,56.4958,0,0
No,Male,Third,Mr. Khalil Saad,25,7.225,0,0
No,Male,First,Col. John Weir,60,26.55,0,0
No,Male,Second,Mr. Charles Henry Chapman,52,13.5,0,0
No,Male,Third,Mr. James Kelly,44,8.05,0,0
Yes,Female,Third,Miss. Katherine Mullens,19,7.7333,0,0
No,Male,First,Mr. John Borland Thayer,49,110.8833,1,1
No,Male,Third,Mr. Adolf Mathias Nicolai Olsen Humblen,42,7.65,0,0
Yes,Female,First,Mrs. John Jacob (Madeleine Talmadge Force) Astor,18,227.525,1,0
Yes,Male,First,Mr. Spencer Victor Silverthorne,35,26.2875,0,0
No,Female,Third,Miss. Saiide Barbara,18,14.4542,0,1
No,Male,Third,Mr. Martin Gallagher,25,7.7417,0,0
No,Male,Third,Mr. Henrik Juul Hansen,26,7.8542,1,0
No,Male,Second,Mr. Henry Samuel Morley,39,26,0,0
Yes,Female,Second,Mrs. Florence Kelly,45,13.5,0,0
Yes,Male,First,Mr. Edward Pennington Calderhead,42,26.2875,0,0
Yes,Female,First,Miss. Alice Cleaver,22,151.55,0,0
Yes,Male,Third,Master. Halim Gonios Moubarek,4,15.2458,1,1
Yes,Female,First,Mlle. Berthe Antonine Mayne,24,49.5042,0,0
No,Male,First,Mr. Herman Klaber,41,26.55,0,0
Yes,Male,First,Mr. Elmer Zebley Taylor,48,52,1,0
No,Male,Third,Mr. August Viktor Larsson,29,9.4833,0,0
No,Male,Second,Mr. Samuel Greenberg,52,13,0,0
No,Male,Third,Mr. Peter Andreas Lauritz Andersen Soholt,19,7.65,0,0
Yes,Female,First,Miss. Caroline Louise Endres,38,227.525,0,0
Yes,Female,Second,Miss. Edwina Celia Troutt,27,10.5,0,0
No,Male,Third,Mr. Malkolm Joackim Johnson,33,7.775,0,0
Yes,Female,Second,Miss. Annie Jessie Harper,6,33,0,1
No,Male,Third,Mr. Svend Lauritz Jensen,17,7.0542,1,0
No,Male,Second,Mr. William Henry Gillespie,34,13,0,0
No,Male,Second,Mr. Henry Price Hodges,50,13,0,0
Yes,Male,First,Mr. Norman Campbell Chambers,27,53.1,1,0
No,Male,Third,Mr. Luka Oreskovic,20,8.6625,0,0
Yes,Female,Second,Mrs. Peter Henry (Lillian Jefferys) Renouf,30,21,3,0
Yes,Female,Third,Miss. Margareth Mannion,28,7.7375,0,0
No,Male,Second,Mr. Kurt Arnold Gottfrid Bryhl,25,26,1,0
No,Female,Third,Miss. Pieta Sofia Ilmakangas,25,7.925,1,0
Yes,Female,First,Miss. Elisabeth Walton Allen,29,211.3375,0,0
No,Male,Third,Mr. Houssein G N Hassan,11,18.7875,0,0
No,Male,Second,Mr. Robert J Knight,41,0,0,0
No,Male,Second,Mr. William John Berriman,23,13,0,0
No,Male,Second,Mr. Moses Aaron Troupiansky,23,13,0,0
No,Male,Third,Mr. Leslie Williams,28.5,16.1,0,0
No,Female,Third,Mrs. Edward (Margaret Ann Watson) Ford,48,34.375,1,3
Yes,Male,First,Mr. Gustave J Lesurer,35,512.3292,0,0
No,Male,Third,Mr. Kanio Ivanoff,20,7.8958,0,0
No,Male,Third,Mr. Minko Nankoff,32,7.8958,0,0
Yes,Male,First,Mr. Walter James Hawksford,45,30,0,0
No,Male,First,Mr. Tyrell William Cavendish,36,78.85,1,0
Yes,Female,First,Miss. Susan Parker Ryerson,21,262.375,2,2
No,Male,Third,Mr. Neal McNamee,24,16.1,1,0
Yes,Male,Third,Mr. Juho Stranden,31,7.925,0,0
No,Male,First,Capt. Edward Gifford Crosby,70,71,1,1
No,Male,Third,Mr. Rossmore Edward Abbott,16,20.25,1,1
Yes,Female,Second,Miss. Anna Sinkkonen,30,13,0,0
No,Male,First,Mr. Daniel Warner Marvin,19,53.1,1,0
No,Male,Third,Mr. Michael Connaghton,31,7.75,0,0
Yes,Female,Second,Miss. Joan Wells,4,23,1,1
Yes,Male,Third,Master. Meier Moor,6,12.475,0,1
No,Male,Third,Mr. Johannes Joseph Vande Velde,33,9.5,0,0
No,Male,Third,Mr. Lalio Jonkoff,23,7.8958,0,0
Yes,Female,Second,Mrs. Samuel (Jane Laver) Herman,48,65,1,2
Yes,Male,Second,Master. Viljo Hamalainen,0.67,14.5,1,1
No,Male,Third,Mr. August Sigfrid Carlsson,28,7.7958,0,0
No,Male,Second,Mr. Percy Andrew Bailey,18,11.5,0,0
No,Male,Third,Mr. Thomas Leonard Theobald,34,8.05,0,0
Yes,Female,First,the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes,33,86.5,0,0
No,Male,Third,Mr. John Garfirth,23,14.5,0,0
No,Male,Third,Mr. Iisakki Antino Aijo Nirva,41,7.125,0,0
Yes,Male,Third,Mr. Hanna Assi Barah,20,7.2292,0,0
Yes,Female,First,Mrs. William Ernest (Lucile Polk) Carter,36,120,1,2
No,Male,Third,Mr. Hans Linus Eklund,16,7.775,0,0
Yes,Female,First,Mrs. John C (Anna Andrews) Hogeboom,51,77.9583,1,0
No,Male,First,Dr. Arthur Jackson Brewe,46,39.6,0,0
No,Female,Third,Miss. Mary Mangan,30.5,7.75,0,0
No,Male,Third,Mr. Daniel J Moran,28,24.15,1,0
No,Male,Third,Mr. Daniel Danielsen Gronnestad,32,8.3625,0,0
No,Male,Third,Mr. Rene Aime Lievens,24,9.5,0,0
No,Male,Third,Mr. Niels Peder Jensen,48,7.8542,0,0
No,Female,Second,Mrs. (Mary) Mack,57,10.5,0,0
No,Male,Third,Mr. Dibo Elias,29,7.225,0,0
Yes,Female,Second,Mrs. Elizabeth (Eliza Needs) Hocking,54,23,1,3
No,Male,Third,Mr. Pehr Fabian Oliver Malkolm Myhrman,18,7.75,0,0
No,Male,Third,Mr. Roger Tobin,20,7.75,0,0
Yes,Female,Third,Miss. Virginia Ethel Emanuel,5,12.475,0,0
No,Male,Third,Mr. Thomas J Kilgannon,22,7.7375,0,0
Yes,Female,First,Mrs. Edward Scott (Elisabeth Walton McMillan) Robert,43,211.3375,0,1
Yes,Female,Third,Miss. Banoura Ayoub,13,7.2292,0,0
Yes,Female,First,Mrs. Albert Adrian (Vera Gillespie) Dick,17,57,1,0
No,Male,First,Mr. Milton Clyde Long,29,30,0,0
No,Male,Third,Mr. Andrew G Johnston,35,23.45,1,2
No,Male,Third,Mr. William Ali,25,7.05,0,0
No,Male,Third,Mr. Abraham (David Lishin) Harmer,25,7.25,0,0
Yes,Female,Third,Miss. Anna Sofia Sjoblom,18,7.4958,0,0
No,Male,Third,Master. George Hugh Rice,8,29.125,4,1
Yes,Male,Third,Master. Bertram Vere Dean,1,20.575,1,2
No,Male,First,Mr. Benjamin Guggenheim,46,79.2,0,0
No,Male,Third,Mr. Andrew Keane,20,7.75,0,0
No,Male,Second,Mr. Alfred Gaskell,16,26,0,0
No,Female,Third,Miss. Stella Anna Sage,21,69.55,8,2
No,Male,First,Mr. William Fisher Hoyt,43,30.6958,0,0
No,Male,Third,Mr. Ristiu Dantcheff,25,7.8958,0,0
No,Male,Second,Mr. Richard Otter,39,13,0,0
Yes,Female,First,Dr. Alice (Farnham) Leader,49,25.9292,0,0
Yes,Female,Third,Mrs. Mara Osman,31,8.6833,0,0
No,Male,Third,Mr. Yousseff Ibrahim Shawah,30,7.2292,0,0
No,Female,Third,Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe,30,24.15,1,1
No,Male,Second,Mr. Martin Ponesell,34,13,0,0
Yes,Female,Second,Mrs. Harvey (Charlotte Annie Tate) Collyer,31,26.25,1,1
Yes,Male,First,Master. William Thornton II Carter,11,120,1,2
